reading from file /dataset-v2-final/T15/20260903-174024-351/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:10:36.896828 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x2), length 152
12:10:36.896920 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x2), length 152
12:10:36.903027 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x3), length 152
12:10:36.903178 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x3), length 152
12:10:36.937485 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x4), length 152
12:10:36.937604 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x4), length 152
12:10:36.975223 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x5), length 152
12:10:36.975340 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x5), length 152
12:10:36.988046 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x6), length 152
12:10:36.988118 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x6), length 152
12:10:37.013453 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x7), length 152
12:10:37.013553 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x7), length 152
12:10:37.051189 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x8), length 152
12:10:37.051350 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x8), length 152
12:10:37.069753 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x9), length 152
12:10:37.069875 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0x9), length 152
12:10:37.107867 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xa), length 152
12:10:37.108011 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xa), length 152
12:10:37.119555 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xb), length 152
12:10:37.119640 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xb), length 152
12:10:37.123366 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xc), length 152
12:10:37.123429 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xc), length 152
12:10:37.138741 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xd), length 152
12:10:37.138942 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xd), length 152
12:10:37.154869 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xe), length 152
12:10:37.154951 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xe), length 152
12:10:37.169374 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0xf), length 152
12:10:37.169476 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc1c0dfa4,seq=0xf), length 152
12:10:37.203236 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc8c6f158,seq=0x10), length 152
