reading from file /dataset-v2/T15/20260903-173516-205/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:05:29.390650 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x2), length 1304
12:05:29.390753 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x2), length 1304
12:05:29.407605 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x3), length 1304
12:05:29.407728 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x3), length 1304
12:05:29.412223 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x4), length 1304
12:05:29.412327 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x4), length 1304
12:05:29.433448 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x5), length 1304
12:05:29.433567 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x5), length 1304
12:05:29.454324 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x6), length 1304
12:05:29.454491 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x6), length 1304
12:05:29.474503 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x7), length 1304
12:05:29.474625 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x7), length 1304
12:05:29.475816 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x8), length 1304
12:05:29.475889 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x8), length 1304
12:05:29.477350 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x9), length 1304
12:05:29.477443 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0x9), length 1304
12:05:29.497649 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xa), length 1304
12:05:29.497873 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xa), length 1304
12:05:29.502530 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xb), length 1304
12:05:29.502627 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xb), length 1304
12:05:29.508894 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xc), length 1304
12:05:29.508949 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xc), length 1304
12:05:29.511997 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xd), length 1304
12:05:29.512131 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xd), length 1304
12:05:29.516199 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xe), length 1304
12:05:29.516268 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xe), length 1304
12:05:29.531183 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0xf), length 1304
12:05:29.531325 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xca69ef2a,seq=0xf), length 1304
12:05:29.548257 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc760862b,seq=0x10), length 1304
