reading from file /dataset-v2-final/T15/20260903-174226-628/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:12:39.547365 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x2), length 200
12:12:39.547538 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x2), length 200
12:12:39.566864 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x3), length 200
12:12:39.567014 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x3), length 200
12:12:39.583318 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x4), length 200
12:12:39.583467 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x4), length 200
12:12:39.602353 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x5), length 200
12:12:39.602518 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x5), length 200
12:12:39.616038 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x6), length 200
12:12:39.616180 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x6), length 200
12:12:39.642645 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x7), length 200
12:12:39.642819 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x7), length 200
12:12:39.662392 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x8), length 200
12:12:39.662544 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x8), length 200
12:12:39.688417 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x9), length 200
12:12:39.688590 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0x9), length 200
12:12:39.710207 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xa), length 200
12:12:39.710366 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xa), length 200
12:12:39.726846 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xb), length 200
12:12:39.727030 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xb), length 200
12:12:39.746405 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xc), length 200
12:12:39.746551 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xc), length 200
12:12:39.773646 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xd), length 200
12:12:39.773806 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xd), length 200
12:12:39.791309 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xe), length 200
12:12:39.791472 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xe), length 200
12:12:39.818781 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0xf), length 200
12:12:39.818920 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc0db0450,seq=0xf), length 200
12:12:39.846234 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc43af7de,seq=0x10), length 200
