reading from file /dataset-v2/T15/20260903-173356-931/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:04:11.638650 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x3), length 152
12:04:11.638691 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x3), length 152
12:04:12.646401 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x4), length 152
12:04:12.646479 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x4), length 152
12:04:13.670215 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x5), length 152
12:04:13.670270 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x5), length 152
12:04:14.694266 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x6), length 152
12:04:14.694336 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x6), length 152
12:04:15.718412 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x7), length 152
12:04:15.718464 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x7), length 152
12:04:15.864818 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x8), length 168
12:04:15.864909 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x8), length 168
12:04:16.326442 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x9), length 168
12:04:16.326514 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x9), length 168
12:04:16.774251 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xa), length 168
12:04:16.774300 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xa), length 168
12:04:17.222368 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xb), length 168
12:04:17.222422 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xb), length 168
12:04:17.670354 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xc), length 168
12:04:17.670425 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xc), length 168
12:04:18.118294 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xd), length 168
12:04:18.118348 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xd), length 168
12:04:18.566390 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xe), length 168
12:04:18.566454 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xe), length 168
12:04:19.014392 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0xf), length 168
12:04:19.014462 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0xf), length 168
12:04:19.462351 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x10), length 168
12:04:19.462440 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc48bcbfb,seq=0x10), length 168
12:04:19.910277 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc3264bdb,seq=0x11), length 168
