reading from file /dataset-v2-final/T15/20260903-173757-367/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:08:10.414983 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x2), length 184
12:08:10.415087 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x2), length 184
12:08:10.444374 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x3), length 184
12:08:10.444492 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x3), length 184
12:08:10.471929 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x4), length 184
12:08:10.472072 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x4), length 184
12:08:10.495802 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x5), length 184
12:08:10.495910 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x5), length 184
12:08:10.504203 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x6), length 184
12:08:10.504319 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x6), length 184
12:08:10.528462 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x7), length 184
12:08:10.528623 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x7), length 184
12:08:10.542820 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x8), length 184
12:08:10.542939 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x8), length 184
12:08:10.555208 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x9), length 184
12:08:10.555293 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0x9), length 184
12:08:10.560746 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xa), length 184
12:08:10.560801 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xa), length 184
12:08:10.573587 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xb), length 184
12:08:10.573694 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xb), length 184
12:08:10.602410 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xc), length 184
12:08:10.602552 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xc), length 184
12:08:10.610122 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xd), length 184
12:08:10.610229 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xd), length 184
12:08:10.611293 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xe), length 184
12:08:10.611378 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xe), length 184
12:08:10.624438 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0xf), length 184
12:08:10.624579 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc3d7ac4e,seq=0xf), length 184
12:08:10.652855 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbb8ea13,seq=0x10), length 184
