reading from file /dataset-v2-final/T15/20260903-173950-807/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:10:03.372654 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x8), length 136
12:10:03.372763 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x7), length 136
12:10:03.372778 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x9), length 120
12:10:03.372821 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xa), length 200
12:10:03.372830 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x8), length 120
12:10:03.378489 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x9), length 280
12:10:03.378519 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xb), length 120
12:10:03.378544 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xa), length 1320
12:10:03.378556 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xc), length 120
12:10:03.378578 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xb), length 120
12:10:03.378586 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xd), length 120
12:10:03.378612 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xc), length 120
12:10:03.378620 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xe), length 120
12:10:04.194662 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0xf), length 136
12:10:04.194774 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xd), length 136
12:10:04.194788 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x10), length 120
12:10:04.194832 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x11), length 200
12:10:04.194840 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xe), length 120
12:10:04.197393 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0xf), length 280
12:10:04.197414 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x12), length 120
12:10:04.197436 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x10), length 1320
12:10:04.197441 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x13), length 120
12:10:04.197462 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x11), length 120
12:10:04.197473 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x14), length 120
12:10:04.197501 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x12), length 120
12:10:04.197509 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x15), length 120
12:10:05.005728 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x16), length 136
12:10:05.005797 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xce814397,seq=0x13), length 136
12:10:05.005810 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc19fc7e8,seq=0x17), length 120
