reading from file /dataset-v2-final/T15/20260903-174120-448/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:11:34.337043 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x3), length 152
12:11:34.337112 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x3), length 152
12:11:35.344036 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x4), length 152
12:11:35.344108 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x4), length 152
12:11:36.364146 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x5), length 152
12:11:36.364223 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x5), length 152
12:11:37.387946 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x6), length 152
12:11:37.388013 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x6), length 152
12:11:38.411953 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x7), length 152
12:11:38.412002 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x7), length 152
12:11:38.533719 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x8), length 152
12:11:38.533767 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x8), length 152
12:11:39.244201 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x9), length 152
12:11:39.244287 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x9), length 152
12:11:39.948202 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xa), length 152
12:11:39.948287 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xa), length 152
12:11:40.651962 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xb), length 152
12:11:40.652033 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xb), length 152
12:11:41.356018 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xc), length 152
12:11:41.356113 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xc), length 152
12:11:42.059941 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xd), length 152
12:11:42.059991 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xd), length 152
12:11:42.764158 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xe), length 152
12:11:42.764276 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xe), length 152
12:11:43.468052 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0xf), length 152
12:11:43.468136 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0xf), length 152
12:11:44.172035 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x10), length 152
12:11:44.172087 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6b08f3d,seq=0x10), length 152
12:11:44.876006 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc7935b51,seq=0x11), length 152
