reading from file /dataset-v2-final/T15/20260903-174051-701/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:11:04.724186 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x2), length 1368
12:11:04.724297 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x2), length 1368
12:11:04.734070 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x3), length 1368
12:11:04.734224 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x3), length 1368
12:11:04.750543 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x4), length 1368
12:11:04.750757 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x4), length 1368
12:11:04.768471 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x5), length 1368
12:11:04.768624 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x5), length 1368
12:11:04.784579 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x6), length 1368
12:11:04.784701 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x6), length 1368
12:11:04.803043 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x7), length 1368
12:11:04.803236 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x7), length 1368
12:11:04.812317 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x8), length 1368
12:11:04.812502 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x8), length 1368
12:11:04.825721 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x9), length 1368
12:11:04.825853 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0x9), length 1368
12:11:04.838845 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xa), length 1368
12:11:04.838985 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xa), length 1368
12:11:04.845094 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xb), length 1368
12:11:04.845204 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xb), length 1368
12:11:04.852267 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xc), length 1368
12:11:04.852412 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xc), length 1368
12:11:04.870121 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xd), length 1368
12:11:04.870252 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xd), length 1368
12:11:04.887052 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xe), length 1368
12:11:04.887194 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xe), length 1368
12:11:04.893617 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0xf), length 1368
12:11:04.893733 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc6d6b75e,seq=0xf), length 1368
12:11:04.896729 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcc6da3f6,seq=0x10), length 1368
