reading from file /dataset-v2-final/T15/20260903-174157-046/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:12:10.001135 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x8), length 136
12:12:10.001226 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x7), length 136
12:12:10.001240 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x9), length 120
12:12:10.001301 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xa), length 200
12:12:10.001309 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x8), length 120
12:12:10.005447 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x9), length 280
12:12:10.005480 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xb), length 120
12:12:10.005520 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xa), length 1320
12:12:10.005532 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xc), length 120
12:12:10.005552 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xb), length 120
12:12:10.005562 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xd), length 120
12:12:10.005586 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xc), length 120
12:12:10.005594 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xe), length 120
12:12:10.586898 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0xf), length 136
12:12:10.586948 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xd), length 136
12:12:10.586961 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x10), length 120
12:12:10.587025 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x11), length 200
12:12:10.587035 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xe), length 120
12:12:10.592503 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0xf), length 280
12:12:10.592541 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x12), length 120
12:12:10.592581 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x10), length 1320
12:12:10.592586 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x13), length 120
12:12:10.592609 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x11), length 120
12:12:10.592627 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x14), length 120
12:12:10.592663 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x12), length 120
12:12:11.416045 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x15), length 136
12:12:11.416136 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcb322fde,seq=0x13), length 136
12:12:11.416150 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x16), length 120
12:12:11.416195 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcce83f01,seq=0x17), length 200
