reading from file /dataset-v2-final/T15/20260903-173651-525/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:07:06.437657 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x3), length 152
12:07:06.437735 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x3), length 152
12:07:07.451717 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x4), length 152
12:07:07.451765 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x4), length 152
12:07:08.475735 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x5), length 152
12:07:08.475810 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x5), length 152
12:07:09.499596 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x6), length 152
12:07:09.499647 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x6), length 152
12:07:10.523751 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x7), length 152
12:07:10.523837 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x7), length 152
12:07:10.682385 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x8), length 152
12:07:10.682434 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x8), length 152
12:07:11.295463 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x9), length 152
12:07:11.295501 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x9), length 152
12:07:11.899766 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xa), length 152
12:07:11.899816 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xa), length 152
12:07:12.507596 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xb), length 152
12:07:12.507646 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xb), length 152
12:07:13.115692 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xc), length 152
12:07:13.115758 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xc), length 152
12:07:13.723649 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xd), length 152
12:07:13.723727 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xd), length 152
12:07:14.331652 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xe), length 152
12:07:14.331732 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xe), length 152
12:07:14.939755 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0xf), length 152
12:07:14.939825 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0xf), length 152
12:07:15.547575 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x10), length 152
12:07:15.547623 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc4e3a102,seq=0x10), length 152
12:07:16.155679 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xcbad5fe0,seq=0x11), length 152
