reading from file /dataset-v2-final/T15/20260903-173729-225/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:07:41.631599 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x8), length 136
12:07:41.631669 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x7), length 136
12:07:41.631683 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x9), length 120
12:07:41.631757 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xa), length 200
12:07:41.631787 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x8), length 120
12:07:41.636170 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x9), length 280
12:07:41.636207 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xb), length 120
12:07:41.636233 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xa), length 1320
12:07:41.636237 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xc), length 120
12:07:41.636260 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xb), length 120
12:07:41.636335 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xd), length 120
12:07:41.636409 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xc), length 120
12:07:42.109307 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xe), length 136
12:07:42.109409 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xd), length 136
12:07:42.109425 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0xf), length 120
12:07:42.109475 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x10), length 200
12:07:42.109484 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xe), length 120
12:07:42.116104 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0xf), length 280
12:07:42.116145 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x11), length 120
12:07:42.116172 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x10), length 1320
12:07:42.116219 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x12), length 120
12:07:42.116247 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x11), length 120
12:07:42.116258 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x13), length 120
12:07:42.116287 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x12), length 120
12:07:42.116296 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x14), length 120
12:07:42.537682 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x15), length 136
12:07:42.537728 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc8890aa8,seq=0x13), length 136
12:07:42.537739 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x16), length 120
12:07:42.537782 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc94fd37a,seq=0x17), length 200
