reading from file /dataset-v2-final/T15/20260903-173832-332/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:08:45.360990 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x2), length 1480
12:08:45.361138 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x2), length 1480
12:08:45.365747 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x3), length 1480
12:08:45.365836 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x3), length 1480
12:08:45.366897 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x4), length 1480
12:08:45.366965 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x4), length 1480
12:08:45.379257 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x5), length 1480
12:08:45.379381 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x5), length 1480
12:08:45.384474 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x6), length 1480
12:08:45.384571 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x6), length 1480
12:08:45.389333 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x7), length 1480
12:08:45.389493 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x7), length 1480
12:08:45.390528 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x8), length 1480
12:08:45.390598 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x8), length 1480
12:08:45.396242 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x9), length 1480
12:08:45.396329 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0x9), length 1480
12:08:45.410241 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xa), length 1480
12:08:45.410372 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xa), length 1480
12:08:45.414156 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xb), length 1480
12:08:45.414236 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xb), length 1480
12:08:45.421747 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xc), length 1480
12:08:45.421906 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xc), length 1480
12:08:45.437262 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xd), length 1480
12:08:45.437431 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xd), length 1480
12:08:45.438491 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xe), length 1480
12:08:45.438583 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xe), length 1480
12:08:45.451436 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0xf), length 1480
12:08:45.451540 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xc9891e77,seq=0xf), length 1480
12:08:45.465083 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc73cbf2b,seq=0x10), length 1480
