reading from file /dataset-v2-final/T15/20260903-174257-079/capture.pcap, link-type EN10MB (Ethernet), snapshot length 262144
12:13:10.350057 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x2), length 1016
12:13:10.350196 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x2), length 1016
12:13:10.361132 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x3), length 1016
12:13:10.361255 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x3), length 1016
12:13:10.373062 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x4), length 1016
12:13:10.373198 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x4), length 1016
12:13:10.388115 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x5), length 1016
12:13:10.388273 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x5), length 1016
12:13:10.408971 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x6), length 1016
12:13:10.409122 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x6), length 1016
12:13:10.415237 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x7), length 1016
12:13:10.415373 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x7), length 1016
12:13:10.422514 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x8), length 1016
12:13:10.422587 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x8), length 1016
12:13:10.424146 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x9), length 1016
12:13:10.424244 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0x9), length 1016
12:13:10.429466 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xa), length 1016
12:13:10.429565 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xa), length 1016
12:13:10.447572 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xb), length 1016
12:13:10.447944 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xb), length 1016
12:13:10.464839 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xc), length 1016
12:13:10.465097 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xc), length 1016
12:13:10.484919 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xd), length 1016
12:13:10.485083 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xd), length 1016
12:13:10.489108 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xe), length 1016
12:13:10.489204 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xe), length 1016
12:13:10.492639 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0xf), length 1016
12:13:10.492740 IP 10.77.0.20 > 10.77.0.10: ESP(spi=0xcdd39294,seq=0xf), length 1016
12:13:10.504719 IP 10.77.0.10 > 10.77.0.20: ESP(spi=0xc898a93f,seq=0x10), length 1016
